index,x,y,z
67,3.16,1.4600000000000009,1.0
68,3.3200000000000003,1.4600000000000009,1.0
69,3.4800000000000004,1.4600000000000009,1.0
70,3.6400000000000006,1.4600000000000009,1.0
71,3.8000000000000007,1.4600000000000009,1.0
72,3.960000000000001,1.4600000000000009,1.0
73,4.120000000000001,1.4600000000000009,1.0
74,4.280000000000001,1.4600000000000009,1.0
75,4.4399999999999995,1.4600000000000009,1.0
76,4.6,1.4600000000000009,1.0
77,4.76,1.4600000000000009,1.0
78,4.92,1.4600000000000009,1.0
79,5.08,1.620000000000001,1.0
80,5.24,1.7799999999999994,1.0
81,5.4,1.9399999999999995,1.0
82,5.5600000000000005,2.0999999999999996,1.0
83,5.720000000000001,2.26,1.0
84,5.880000000000001,2.42,1.0
85,6.040000000000001,2.58,1.0
86,6.200000000000001,2.74,1.0
87,6.359999999999999,2.9000000000000004,1.0
88,6.52,3.0600000000000005,1.0
89,6.68,3.0600000000000005,1.0
90,6.84,3.0600000000000005,1.0
91,7.0,3.2200000000000006,1.0
92,7.16,3.2200000000000006,1.0
93,7.32,3.380000000000001,1.0
94,7.48,3.380000000000001,1.0
95,7.640000000000001,3.540000000000001,1.0
96,7.800000000000001,3.540000000000001,1.0
97,7.960000000000001,3.700000000000001,1.0
98,8.120000000000001,3.700000000000001,1.0
99,8.280000000000001,3.8599999999999994,1.0
100,8.440000000000001,3.8599999999999994,1.0
101,8.600000000000001,3.8599999999999994,1.0
102,8.760000000000002,4.02,1.0
103,8.920000000000002,4.02,1.0
104,9.080000000000002,4.18,1.0
105,9.240000000000002,4.18,1.0
106,9.400000000000002,4.34,1.0
107,9.559999999999999,4.34,1.0
108,9.719999999999999,4.5,1.0
109,9.879999999999999,4.5,1.0
110,10.04,4.66,1.0
111,10.2,4.66,1.0
112,10.36,4.66,1.0
113,10.52,4.82,1.0
114,10.68,4.82,1.0
115,10.84,4.98,1.0
116,11.0,4.98,1.0
117,11.16,5.140000000000001,1.0
118,11.32,5.140000000000001,1.0
119,11.48,5.300000000000001,1.0
120,11.64,5.300000000000001,1.0
121,11.8,5.460000000000001,1.0
122,11.96,5.460000000000001,1.0
123,12.120000000000001,5.460000000000001,1.0
124,12.280000000000001,5.620000000000001,1.0
125,12.440000000000001,5.620000000000001,1.0
126,12.600000000000001,5.780000000000001,1.0
127,12.760000000000002,5.780000000000001,1.0
128,12.920000000000002,5.9399999999999995,1.0
129,13.080000000000002,5.9399999999999995,1.0
130,13.240000000000002,6.1,1.0
131,13.400000000000002,6.1,1.0
132,13.559999999999999,6.26,1.0
133,13.8,6.3,1.0
134,-6.92,-6.0600000000000005,1.0
135,-6.76,-5.9,1.0
136,-6.6,-5.74,1.0
137,-6.4399999999999995,-5.58,1.0
138,-6.279999999999999,-5.42,1.0
139,-6.12,-5.26,1.0
140,-5.96,-5.1,1.0
141,-5.8,-4.9399999999999995,1.0
142,-5.640000000000001,-4.779999999999999,1.0
143,-5.48,-4.62,1.0
144,-5.32,-4.46,1.0
145,-5.16,-4.3,1.0
146,-5.0,-4.140000000000001,1.0
147,-4.84,-3.98,1.0
148,-4.68,-3.82,1.0
149,-4.52,-3.66,1.0
150,-4.36,-3.5,1.0
151,-4.2,-3.34,1.0
152,-4.04,-3.1799999999999997,1.0
153,-3.88,-3.0199999999999996,1.0
154,-3.7199999999999998,-2.8600000000000003,1.0
155,-3.5599999999999996,-2.7,1.0
156,-3.3999999999999995,-2.54,1.0
157,-3.24,-2.38,1.0
158,-3.08,-2.2199999999999998,1.0
159,-2.92,-2.0599999999999996,1.0
160,-2.76,-1.8999999999999995,1.0
161,-2.5999999999999996,-1.7400000000000002,1.0
162,-2.4399999999999995,-1.58,1.0
163,-2.2800000000000002,-1.42,1.0
164,-2.12,-1.2599999999999998,1.0
165,-1.96,-1.0999999999999996,1.0
166,-1.7999999999999998,-0.9399999999999995,1.0
167,-1.6399999999999997,-0.7800000000000002,1.0
168,-1.4799999999999995,-0.6200000000000001,1.0
169,-1.3200000000000003,-0.6200000000000001,1.0
170,-1.1600000000000001,-0.45999999999999996,1.0
171,-1.0,-0.45999999999999996,1.0
172,-0.8399999999999999,-0.2999999999999998,1.0
173,-0.6799999999999997,-0.2999999999999998,1.0
174,-0.5199999999999996,-0.13999999999999968,1.0
175,-0.35999999999999943,-0.13999999999999968,1.0
176,-0.1999999999999993,-0.13999999999999968,1.0
177,-0.03999999999999915,0.020000000000000462,1.0
178,0.120000000000001,0.020000000000000462,1.0
179,0.27999999999999936,0.17999999999999972,1.0
180,0.4399999999999995,0.17999999999999972,1.0
181,0.5999999999999996,0.33999999999999986,1.0
182,0.7599999999999998,0.33999999999999986,1.0
183,0.9199999999999999,0.5,1.0
184,1.08,0.5,1.0
185,1.2400000000000002,0.6600000000000001,1.0
186,1.4000000000000004,0.6600000000000001,1.0
187,1.5600000000000005,0.6600000000000001,1.0
188,1.7200000000000006,0.8200000000000003,1.0
189,1.8800000000000008,0.8200000000000003,1.0
190,2.040000000000001,0.9800000000000004,1.0
191,2.200000000000001,0.9800000000000004,1.0
192,2.3599999999999994,1.1400000000000006,1.0
193,2.5199999999999996,1.1400000000000006,1.0
194,2.6799999999999997,1.3000000000000007,1.0
195,2.84,1.3000000000000007,1.0
196,3.0,1.4600000000000009,1.0
197,3.16,1.4600000000000009,1.0
198,3.3200000000000003,1.4600000000000009,1.0
199,3.4800000000000004,1.620000000000001,1.0
200,3.6400000000000006,1.620000000000001,1.0
201,3.8000000000000007,1.7799999999999994,1.0
202,3.960000000000001,1.7799999999999994,1.0
203,4.120000000000001,1.9399999999999995,1.0
204,4.280000000000001,1.9399999999999995,1.0
205,4.4399999999999995,2.0999999999999996,1.0
206,4.6,2.0999999999999996,1.0
207,4.76,2.26,1.0
208,4.92,2.26,1.0
209,5.08,2.26,1.0
210,5.24,2.42,1.0
211,5.4,2.42,1.0
212,5.5600000000000005,2.58,1.0
213,5.720000000000001,2.58,1.0
214,5.880000000000001,2.74,1.0
215,6.040000000000001,2.74,1.0
216,6.200000000000001,2.9000000000000004,1.0
217,6.359999999999999,2.9000000000000004,1.0
218,6.52,3.0600000000000005,1.0
219,6.68,3.0600000000000005,1.0
220,6.84,3.0600000000000005,1.0
221,7.0,3.2200000000000006,1.0
222,7.16,3.2200000000000006,1.0
223,7.32,3.380000000000001,1.0
224,7.48,3.380000000000001,1.0
225,7.640000000000001,3.540000000000001,1.0
226,7.800000000000001,3.540000000000001,1.0
227,7.960000000000001,3.700000000000001,1.0
228,8.120000000000001,3.700000000000001,1.0
229,8.280000000000001,3.8599999999999994,1.0
230,8.440000000000001,3.8599999999999994,1.0
231,8.600000000000001,3.8599999999999994,1.0
232,8.760000000000002,4.02,1.0
233,8.920000000000002,4.02,1.0
234,9.080000000000002,4.18,1.0
