time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,controller_mode,safety_active,event_code,return_ref_x,return_ref_y,return_ref_z
14.01,-2.6338665370125837e-11,3.661509515181249e-11,14.981316791164707,0.0,0.0,15.0,-1.0224788254110894e-12,2.3394624767407035e-12,7.394657993138134e-11,14.581556412775422,-14.58155641225271,14.581556412769952,-14.581556412237617,1.0,0.0,10.0,2.6338665370125837e-11,-3.661509515181249e-11,0.018683208835293286
14.02,-2.6044173201432092e-11,3.593885308999537e-11,14.979578016557042,0.0,0.0,15.0,-1.1839428620339111e-12,2.267894839692468e-12,7.375142147922747e-11,14.561311144253171,-14.561311143732127,14.561311144247686,-14.5613111437156,1.0,0.0,10.0,2.6044173201432092e-11,-3.593885308999537e-11,0.02042198344295798
14.030000000000001,-2.5747306528406062e-11,3.5263855171531835e-11,14.977900898698378,0.0,0.0,15.0,-1.3391814885866653e-12,2.1942614011470087e-12,7.365004747689941e-11,14.541764817646724,-14.541764817126463,14.541764817641184,-14.54176481710903,1.0,0.0,10.0,2.5747306528406062e-11,-3.5263855171531835e-11,0.02209910130162207
14.040000000000001,-2.54481919898542e-11,3.4590192281728095e-11,14.97628249362641,0.0,0.0,15.0,-1.4908177813274384e-12,2.118437373504136e-12,7.361896433926262e-11,14.522939755496376,-14.522939754976123,14.52293975549078,-14.52293975495835,1.0,0.0,10.0,2.54481919898542e-11,-3.4590192281728095e-11,0.023717506373589714
14.05,-2.5146891754848004e-11,3.3918059214739094e-11,14.974720164323603,0.0,0.0,15.0,-1.6368209438609127e-12,2.0384541802243314e-12,7.36450435589663e-11,14.504851493253662,-14.504851492732822,14.504851493248086,-14.504851492715307,1.0,0.0,10.0,2.5146891754848004e-11,-3.3918059214739094e-11,0.0252798356763968
14.06,-2.484347771192989e-11,3.324763132515761e-11,14.973211369736708,0.0,0.0,15.0,-1.7763957333955818e-12,1.9524613943120835e-12,7.370497474273601e-11,14.487510541711584,-14.487510541189843,14.487510541706238,-14.487510541173178,1.0,0.0,10.0,2.484347771192989e-11,-3.324763132515761e-11,0.026788630263292035
14.07,-2.453802582154024e-11,3.257907404248169e-11,14.971753691221528,0.0,0.0,15.0,-1.9095927736360585e-12,1.8585648811163937e-12,7.376603815171603e-11,14.470922663844966,-14.470922663322403,14.470922663840211,-14.470922663307116,1.0,0.0,10.0,2.453802582154024e-11,-3.257907404248169e-11,0.02824630877847234
14.08,-2.423067061742522e-11,3.1912485872563524e-11,14.970344593455849,0.0,0.0,15.0,-2.036184587652221e-12,1.7603224280509326e-12,7.388374802124381e-11,14.45509014027014,-14.455090139746162,14.45509014026598,-14.455090139732732,1.0,0.0,10.0,2.423067061742522e-11,-3.1912485872563524e-11,0.02965540654415122
14.09,-2.392149938141723e-11,3.1248013675145894e-11,14.9689819060617,0.0,0.0,15.0,-2.157314681037794e-12,1.6565536789774131e-12,7.40244284865126e-11,14.440010419047564,-14.440010418522009,14.440010419044162,-14.44001041851075,1.0,0.0,10.0,2.392149938141723e-11,-3.1248013675145894e-11,0.03101809393830024
14.1,-2.3610619886416992e-11,3.058577861329572e-11,14.967663532279074,0.0,0.0,15.0,-2.274603978231595e-12,1.5477901620820265e-12,7.417608091730718e-11,14.425677608152657,-14.425677607625563,14.425677608150213,-14.425677607616567,1.0,0.0,10.0,2.3610619886416992e-11,-3.058577861329572e-11,0.03233646772092591
14.11,-2.3298152225075088e-11,2.992588491011695e-11,14.966387495707584,0.0,0.0,15.0,-2.390369347658776e-12,1.4354473656328765e-12,7.43331599496813e-11,14.412082724637736,-14.412082724109254,14.412082724636427,-14.412082724102344,1.0,0.0,10.0,2.3298152225075088e-11,-2.992588491011695e-11,0.03361250429241558
14.120000000000001,-2.2984191244646024e-11,2.926847495098688e-11,14.965151759666137,0.0,0.0,15.0,-2.5028393501430315e-12,1.3191925574094564e-12,7.449315946063237e-11,14.399213695785273,-14.39921369525552,14.399213695785237,-14.39921369525066,1.0,0.0,10.0,2.2984191244646024e-11,-2.926847495098688e-11,0.034848240333863245
14.13,-2.2668860119532318e-11,2.8613650101112618e-11,14.963954515443772,0.0,0.0,15.0,-2.6133006223379265e-12,1.200574937030236e-12,7.46565402721144e-11,14.387056283045252,-14.387056282514354,14.387056283046565,-14.387056282511363,1.0,0.0,10.0,2.2668860119532318e-11,-2.8613650101112618e-11,0.03604548455622769
14.14,-2.2352298758520092e-11,2.7961488284248183e-11,14.962794116598635,0.0,0.0,15.0,-2.7244302509825642e-12,1.0822309615403445e-12,7.48274305434007e-11,14.375594358336748,-14.375594357804832,14.375594358339395,-14.375594357803251,1.0,0.0,10.0,2.2352298758520092e-11,-2.7961488284248183e-11,0.03720588340136466
14.15,-2.2034648718660974e-11,2.7312066748544062e-11,14.961668994282476,0.0,0.0,15.0,-2.8381556494768168e-12,9.668524667569827e-13,7.501436758539696e-11,14.364810145629242,-14.364810145096357,14.36481014563309,-14.364810145095543,1.0,0.0,10.0,2.2034648718660974e-11,-2.7312066748544062e-11,0.03833100571752368
14.16,-2.1715971931356787e-11,2.666556476954156e-11,14.96057745410293,0.0,0.0,15.0,-2.950962620018993e-12,8.513684435180355e-13,7.520453055982942e-11,14.354681127667124,-14.354681127133423,14.354681127672192,-14.354681127133064,1.0,0.0,10.0,2.1715971931356787e-11,-2.666556476954156e-11,0.03942254589706984
14.17,-2.139642254344333e-11,2.6022044033645502e-11,14.959518144475691,0.0,0.0,15.0,-3.064763077096585e-12,7.391659949844861e-13,7.541461158944479e-11,14.345187279513665,-14.345187278979111,14.345187279519802,-14.345187278978749,1.0,0.0,10.0,2.139642254344333e-11,-2.6022044033645502e-11,0.04048185552430894
14.18,-2.107612636577151e-11,2.5381603080317782e-11,14.958489726647594,0.0,0.0,15.0,-3.1791874557941656e-12,6.315002898620777e-13,7.565571953012933e-11,14.336306624234428,-14.336306623698835,14.336306624241413,-14.33630662369809,1.0,0.0,10.0,2.107612636577151e-11,-2.5381603080317782e-11,0.0415102733524062
14.19,-2.075520904707101e-11,2.4744341479512302e-11,14.957490950789344,0.0,0.0,15.0,-3.2933254437513236e-12,5.294900211770417e-13,7.594201098132891e-11,14.328016728517747,-14.328016727980716,14.328016728525276,-14.328016727979369,1.0,0.0,10.0,2.075520904707101e-11,-2.4744341479512302e-11,0.0425090492106559
14.200000000000001,-2.043375050617053e-11,2.4110382098357535e-11,14.956520622253748,0.0,0.0,15.0,-3.4082956629562437e-12,4.307364287787058e-13,7.62296816775505e-11,14.320289480049572,-14.320289479511182,14.320289480057557,-14.320289479508897,1.0,0.0,10.0,2.043375050617053e-11,-2.4110382098357535e-11,0.04347937774625166
14.21,-2.0111867677448337e-11,2.3479831889723123e-11,14.955577658986988,0.0,0.0,15.0,-3.5223496285368963e-12,3.354372268606792e-13,7.652952509649355e-11,14.313101676735165,-14.31310167619529,14.31310167674347,-14.313101676192007,1.0,0.0,10.0,2.0111867677448337e-11,-2.3479831889723123e-11,0.044422341013012456
14.22,-1.978966121181366e-11,2.2852808126330234e-11,14.9546610516302,0.0,0.0,15.0,-3.633851227802386e-12,2.424344598597286e-13,7.683581415033472e-11,14.30642887876149,-14.306428878219986,14.306428878770038,-14.306428878215893,1.0,0.0,10.0,1.978966121181366e-11,-2.2852808126330234e-11,0.04533894836979968
14.23,-1.946722184752761e-11,2.22294359300937e-11,14.953769866301656,0.0,0.0,15.0,-3.74080195355603e-12,1.4967739174887838e-13,7.71357445650299e-11,14.300246601666245,-14.30024660112301,14.30024660167506,-14.300246601118594,1.0,0.0,10.0,1.946722184752761e-11,-2.22294359300937e-11,0.04623013369834439
14.24,-1.9144666488608676e-11,2.1609779706061168e-11,14.95290321295292,0.0,0.0,15.0,-3.845577766103571e-12,6.042742221616883e-14,7.745060880097002e-11,14.294525955701141,-14.294525955155953,14.29452595571007,-14.294525955151267,1.0,0.0,10.0,1.9144666488608676e-11,-2.1609779706061168e-11,0.04709678704707976
14.25,-1.8822077558592272e-11,2.099396096109203e-11,14.952060294844493,0.0,0.0,15.0,-3.946552846207415e-12,-2.7261196836442548e-14,7.776899856364534e-11,14.28924224546644,-14.289242244919127,14.289242245475414,-14.289242244914426,1.0,0.0,10.0,1.8822077558592272e-11,-2.099396096109203e-11,0.04793970515550683
14.26,-1.849953297102355e-11,2.0382098578467802e-11,14.951240378876554,0.0,0.0,15.0,-4.042400302593598e-12,-1.151921591978927e-13,7.808068688795172e-11,14.284370907024856,-14.284370906475315,14.284370907033887,-14.284370906470981,1.0,0.0,10.0,1.849953297102355e-11,-2.0382098578467802e-11,0.04875962112344645
14.27,-1.8177107053443127e-11,1.9774306002907596e-11,14.950442791289024,0.0,0.0,15.0,-4.1323293777747774e-12,-2.0476442501942868e-13,7.837823814836886e-11,14.279887503889098,-14.27988750333729,14.27988750389825,-14.279887503333716,1.0,0.0,10.0,1.8177107053443127e-11,-1.9774306002907596e-11,0.049557208710975686
14.280000000000001,-1.7854903864891432e-11,1.9170655134585365e-11,14.949666888992816,0.0,0.0,15.0,-4.216838625312928e-12,-2.9478332825205975e-13,7.866794013739836e-11,14.27576594503374,-14.275765944479582,14.275765945043036,-14.27576594447712,1.0,0.0,10.0,1.7854903864891432e-11,-1.9170655134585365e-11,0.05033311100718407
