time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,yaw_ref,segment_index
18.4,86.7011593761,29.4793006239,2.2,-0.711273687954,0.711273687954,0,2.35619449019,20
18.45,86.665,29.51546,2.2,-0.729166666667,0.729166666667,0,2.35619449019,20
18.5,86.6288406239,29.5516193761,2.2,-0.711273687954,0.711273687954,0,2.35619449019,20
18.55,86.5944483183,29.5860116817,2.2,-0.658928389981,0.658928389981,0,2.35619449019,20
18.6,86.5634567901,29.6170032099,2.2,-0.576131687243,0.576131687243,0,2.35619449019,20
18.65,86.5372330183,29.6432269817,2.2,-0.469551770563,0.469551770563,0,2.35619449019,20
18.7,86.5167438907,29.6637161093,2.2,-0.348524107097,0.348524107097,0,2.35619449019,20
18.75,86.5024228395,29.6780371605,2.2,-0.225051440329,0.225051440329,0,2.35619449019,20
18.8,86.4940364782,29.6864235218,2.2,-0.113803790073,0.113803790073,0,2.35619449019,20
18.85,86.4905512371,29.6899087629,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,20
18.9,86.49,29.69046,2.2,0,0,0,2.35619449019,20
18.95,86.49,29.6910112371,2.2,0,0.0321184524717,0,1.57079632679,21
19,86.49,29.6944964782,2.2,0,0.113803790073,0,1.57079632679,21
19.05,86.49,29.7028828395,2.2,0,0.225051440329,0,1.57079632679,21
19.1,86.49,29.7172038907,2.2,0,0.348524107097,0,1.57079632679,21
19.15,86.49,29.7376930183,2.2,0,0.469551770563,0,1.57079632679,21
19.2,86.49,29.7639167901,2.2,0,0.576131687243,0,1.57079632679,21
19.25,86.49,29.7949083183,2.2,0,0.658928389981,0,1.57079632679,21
19.3,86.49,29.8293006239,2.2,0,0.711273687954,0,1.57079632679,21
19.35,86.49,29.86546,2.2,0,0.729166666667,0,1.57079632679,21
19.4,86.49,29.9016193761,2.2,0,0.711273687954,0,1.57079632679,21
19.45,86.49,29.9360116817,2.2,0,0.658928389981,0,1.57079632679,21
19.5,86.49,29.9670032099,2.2,0,0.576131687243,0,1.57079632679,21
19.55,86.49,29.9932269817,2.2,0,0.469551770563,0,1.57079632679,21
19.6,86.49,30.0137161093,2.2,0,0.348524107097,0,1.57079632679,21
19.65,86.49,30.0280371605,2.2,0,0.225051440329,0,1.57079632679,21
19.7,86.49,30.0364235218,2.2,0,0.113803790073,0,1.57079632679,21
19.75,86.49,30.0399087629,2.2,0,0.0321184524717,0,1.57079632679,21
19.8,86.49,30.04046,2.2,0,0,0,1.57079632679,21
19.85,86.4894487629,30.0410112371,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,22
19.9,86.4859635218,30.0444964782,2.2,-0.113803790073,0.113803790073,0,2.35619449019,22
19.95,86.4775771605,30.0528828395,2.2,-0.225051440329,0.225051440329,0,2.35619449019,22
20,86.4632561093,30.0672038907,2.2,-0.348524107098,0.348524107097,0,2.35619449019,22
20.05,86.4427669817,30.0876930183,2.2,-0.469551770563,0.469551770563,0,2.35619449019,22
20.1,86.4165432099,30.1139167901,2.2,-0.576131687243,0.576131687243,0,2.35619449019,22
20.15,86.3855516817,30.1449083183,2.2,-0.658928389981,0.658928389981,0,2.35619449019,22
20.2,86.3511593761,30.1793006239,2.2,-0.711273687954,0.711273687954,0,2.35619449019,22
20.25,86.315,30.21546,2.2,-0.729166666667,0.729166666667,0,2.35619449019,22
20.3,86.2788406239,30.2516193761,2.2,-0.711273687954,0.711273687954,0,2.35619449019,22
20.35,86.2444483183,30.2860116817,2.2,-0.658928389981,0.658928389981,0,2.35619449019,22
20.4,86.2134567901,30.3170032099,2.2,-0.576131687243,0.576131687243,0,2.35619449019,22
20.45,86.1872330183,30.3432269817,2.2,-0.469551770563,0.469551770563,0,2.35619449019,22
20.5,86.1667438907,30.3637161093,2.2,-0.348524107098,0.348524107097,0,2.35619449019,22
20.55,86.1524228395,30.3780371605,2.2,-0.225051440329,0.225051440329,0,2.35619449019,22
20.6,86.1440364782,30.3864235218,2.2,-0.113803790073,0.113803790073,0,2.35619449019,22
20.65,86.1405512371,30.3899087629,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,22
20.7,86.14,30.39046,2.2,0,0,0,2.35619449019,22
20.75,86.14,30.3910112371,2.2,0,0.0321184524717,0,1.57079632679,23
20.8,86.14,30.3944964782,2.2,0,0.113803790073,0,1.57079632679,23
20.85,86.14,30.4028828395,2.2,0,0.225051440329,0,1.57079632679,23
20.9,86.14,30.4172038907,2.2,0,0.348524107097,0,1.57079632679,23
20.95,86.14,30.4376930183,2.2,0,0.469551770563,0,1.57079632679,23
21,86.14,30.4639167901,2.2,0,0.576131687243,0,1.57079632679,23
21.05,86.14,30.4949083183,2.2,0,0.658928389981,0,1.57079632679,23
21.1,86.14,30.5293006239,2.2,0,0.711273687954,0,1.57079632679,23
21.15,86.14,30.56546,2.2,0,0.729166666667,0,1.57079632679,23
21.2,86.14,30.6016193761,2.2,0,0.711273687954,0,1.57079632679,23
21.25,86.14,30.6360116817,2.2,0,0.658928389981,0,1.57079632679,23
21.3,86.14,30.6670032099,2.2,0,0.576131687243,0,1.57079632679,23
21.35,86.14,30.6932269817,2.2,0,0.469551770563,0,1.57079632679,23
21.4,86.14,30.7137161093,2.2,0,0.348524107097,0,1.57079632679,23
21.45,86.14,30.7280371605,2.2,0,0.225051440329,0,1.57079632679,23
21.5,86.14,30.7364235218,2.2,0,0.113803790073,0,1.57079632679,23
21.55,86.14,30.7399087629,2.2,0,0.0321184524717,0,1.57079632679,23
21.6,86.14,30.74046,2.2,0,0,0,1.57079632679,23
21.65,86.14,30.7410112371,2.2,0,0.0321184524717,0,1.57079632679,24
21.7,86.14,30.7444964782,2.2,0,0.113803790073,0,1.57079632679,24
21.75,86.14,30.7528828395,2.2,0,0.225051440329,0,1.57079632679,24
21.8,86.14,30.7672038907,2.2,0,0.348524107097,0,1.57079632679,24
21.85,86.14,30.7876930183,2.2,0,0.469551770563,0,1.57079632679,24
21.9,86.14,30.8139167901,2.2,0,0.576131687243,0,1.57079632679,24
21.95,86.14,30.8449083183,2.2,0,0.658928389981,0,1.57079632679,24
22,86.14,30.8793006239,2.2,0,0.711273687954,0,1.57079632679,24
22.05,86.14,30.91546,2.2,0,0.729166666667,0,1.57079632679,24
22.1,86.14,30.9516193761,2.2,0,0.711273687954,0,1.57079632679,24
22.15,86.14,30.9860116817,2.2,0,0.658928389981,0,1.57079632679,24
22.2,86.14,31.0170032099,2.2,0,0.576131687243,0,1.57079632679,24
22.25,86.14,31.0432269817,2.2,0,0.469551770563,0,1.57079632679,24
22.3,86.14,31.0637161093,2.2,0,0.348524107097,0,1.57079632679,24
22.35,86.14,31.0780371605,2.2,0,0.225051440329,0,1.57079632679,24
22.4,86.14,31.0864235218,2.2,0,0.113803790073,0,1.57079632679,24
22.45,86.14,31.0899087629,2.2,0,0.0321184524717,0,1.57079632679,24
22.5,86.14,31.09046,2.2,0,0,0,1.57079632679,24
