time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,wind_force_x_n,wind_force_y_n,wind_force_z_n
54.64,3.3195081453666413,-6.420930151704098,9.982272251202875,3.221996058594203,-6.237704697849899,10.0,0.0073290181541679905,0.003900483470897527,0.0,0.554383353604252,0.5018773581233227,0.5412568547340196,0.515003856993555,0.0,0.0,0.0
54.65,3.3138527802192,-6.411483867902245,9.98235629799788,3.2160473089197996,-6.2278778048811265,10.0,0.00734424252084473,0.003912218851976021,0.0,0.5547826983852712,0.5016800542944572,0.5415070373625677,0.5149557153171607,0.0,0.0,0.0
54.66,3.3081966840607806,-6.402026475274874,9.9824417739231,3.2100972896008413,-6.21804107724321,10.0,0.007359415921266539,0.003923975778397573,0.0,0.5551806488052532,0.5014839431581145,0.5417564723934686,0.5149081195698991,0.0,0.0,0.0
54.67,3.3025398419058187,-6.3925579648786295,9.982528672055032,3.2041460029863202,-6.208194530469694,10.0,0.007374537376357431,0.00393575355677994,0.0,0.5555771890690522,0.5012890380369115,0.542005151311017,0.5148610757949467,0.0,0.0,0.0
54.68,3.296882238733175,-6.383078327909647,9.982616985354976,3.1981934514256967,-6.198338180109625,10.0,0.007389605912000903,0.003947551492299138,0.0,0.5559723034469113,0.5010953521905774,0.5422530656328278,0.5148145900046609,0.0,0.0,0.0
54.69,3.291223859487294,-6.373587555706514,9.982706706669603,3.1922396372689565,-6.188472041727518,10.0,0.007404620559159838,0.00395936888873349,0.0,0.5563659762751875,0.5009028988152581,0.5425002069102052,0.5147686681802404,0.0,0.0,0.0
54.7,3.285564689079275,-6.3640856397530845,9.982797828731535,3.1862845628665504,-6.178596130903341,10.0,0.00741958035398973,0.003971205048508981,0.0,0.5567581919570757,0.5007116910428229,0.5427465667285125,0.514723316271386,0.0,0.0,0.0
54.71,3.2799047123880363,-6.354572571681409,9.982890344159932,3.1803282305694687,-6.16871046323253,10.0,0.007434484337955176,0.003983059272742704,0.0,0.5571489349633272,0.500521741940176,0.5429921367075393,0.5146785401959638,0.0,0.0,0.0
54.72,3.2742439142613744,-6.34504834327449,9.982984245461099,3.1743706427291634,-6.158815054325885,10.0,0.007449331557944206,0.0039949308612884414,0.0,0.5575381898329688,0.500333064508568,0.5432369085018686,0.5146343458396682,0.0,0.0,0.0
54.73,3.268582279517128,-6.3355129464691755,9.98307952502908,3.168411801697601,-6.148909919809612,10.0,0.007464121066382532,0.004006819112781077,0.0,0.5579259411740151,0.5001456716829132,0.5434808738012396,0.5145907390556888,0.0,0.0,0.0
54.74,3.262919792944277,-6.325966373358936,9.983176175146282,3.162451709827237,-6.13899507532528,10.0,0.007478851921346248,0.0040187233246816055,0.0,0.5583121736641773,0.4999595763311107,0.5437240243309107,0.5145477256643773,0.0,0.0,0.0
54.75,3.2572564393040806,-6.316408616196656,9.9832741879841,3.1564903694710256,-6.129070536529765,10.0,0.0074935231866756526,0.004030642793322201,0.0,0.5586968720515729,0.499774791253366,0.5439663518520211,0.5145053114529178,0.0,0.0,0.0
54.76,3.2515922033311644,-6.306839667397406,9.983373555603544,3.150527782982402,-6.119136319095285,10.0,0.0075081339320848175,0.004042576813950501,0.0,0.5590800211554267,0.4995913291815188,0.5442078481619497,0.5144635021749957,0.0,0.0,0.0
54.77,3.2459270697346985,-6.297259519541222,9.983474269955895,3.1445639527153038,-6.109192438709304,10.0,0.00752268323327673,0.0040545246807757885,0.0,0.5594616058667716,0.4994092027783721,0.5444485050946717,0.514422303550472,0.0,0.0,0.0
54.78,3.240261023199493,-6.287668165375818,9.983576322883344,3.1385988810241616,-6.099238911074592,10.0,0.007537170172049024,0.004066485687013248,0.0,0.5598416111491443,0.4992284246370276,0.5446883145211152,0.5143817212650568,0.0,0.0,0.0
54.79,3.2345940483871365,-6.278065597819325,9.983679706119661,3.132632570263883,-6.089275751909109,10.0,0.007551593836408656,0.004078459124930145,0.0,0.5602200220392799,0.49904900728022056,0.544927268349515,0.5143417609699854,0.0,0.0,0.0
54.8,3.2289261299371104,-6.2684518099629525,9.98378441129086,3.1266650227898767,-6.0793029769460505,10.0,0.00756595332067608,0.004090444285889347,0.0,0.5605968236477996,0.4988709631596613,0.545165358525765,0.5143024282816959,0.0,0.0,0.0
54.81,3.2232572524679637,-6.258826795073729,9.983890429915876,3.1206962409580363,-6.0693206019337875,10.0,0.0075802477255976445,0.004102440460397094,0.0,0.5609720011598964,0.49869430465537956,0.5454025770337672,0.5142637287815088,0.0,0.0,0.0
54.82,3.217587400578389,-6.2491905465971165,9.98399775340726,3.1147262271247467,-6.05932864263587,10.0,0.007594476158449872,0.004114446938145697,0.0,0.5613455398360192,0.4985190440750717,0.5456389158957824,0.5142256680153086,0.0,0.0,0.0
54.83,3.2119165588484107,-6.2395430581596845,9.98410637307187,3.1087549836468704,-6.049327114830932,10.0,0.00760863773315009,0.004126463008061609,0.0,0.5617174250125497,0.4983451936534518,0.5458743671727753,0.5141882514932263,0.0,0.0,0.0
54.84,3.206244711840472,-6.229884323571694,9.984216280111573,3.102782512881755,-6.039316034312772,10.0,0.007622731570356898,0.00413848795834868,0.0,0.5620876421024779,0.49817276555160656,0.5461089229647601,0.5141514846893244,0.0,0.0,0.0
54.85,3.200571844100632,-6.220214336829748,9.984327465623958,3.0968088171872425,-6.029295416890247,10.0,0.00763675679758002,0.0041505210765355825,0.0,0.562456176596072,0.4980017718563545,0.5463425754111426,0.514115373041284,0.0,0.0,0.0
54.86,3.1948979401596387,-6.210533092119344,9.984439920603055,3.0908338989216535,-6.019265278387289,10.0,0.0076507125492821975,0.004162561649519407,0.0,0.5628230140615486,0.4978322245796078,0.5465753166910633,0.514079921950093,0.0,0.0,0.0
54.87,3.189222984534116,-6.200840583817415,9.984553635940077,3.08485776044379,-6.009225634642834,10.0,0.007664597966983245,0.0041746089636130355,0.0,0.5631881401457336,0.4976641356577372,0.5468071390237346,0.5140451367797363,0.0,0.0,0.0
54.88,3.1835469617276897,-6.19113680649494,9.984668602424144,3.078880404112941,-5.99917650151088,10.0,0.007678412199362406,0.004186662304589941,0.0,0.5635515405747233,0.49749751695094435,0.5470380346687786,0.514011022856889,0.0,0.0,0.0
