t,mode_id,mode,minimum_pair_distance_input_m,formation_rmse_input_m,active_agents,failed_mask,safety_corrections,status_code
23.084,4,containment,1.5057733082251823,0.02158318141263238,3.0,0.0,0.0,1.0
23.104,4,containment,1.5058167468672896,0.02162682560541944,3.0,0.0,0.0,1.0
23.124,4,containment,1.5057499344179344,0.02168223267157672,3.0,0.0,0.0,1.0
23.144,4,containment,1.505848313620597,0.02172604046522057,3.0,0.0,0.0,1.0
23.164,4,containment,1.5058416622268633,0.021782091919855587,3.0,0.0,0.0,1.0
23.185,4,containment,1.5059212893202583,0.02181637406818071,3.0,0.0,0.0,1.0
23.204,4,containment,1.5058605476555207,0.021864607886061857,3.0,0.0,0.0,1.0
23.224,4,containment,1.505880986471434,0.02189442632869715,3.0,0.0,0.0,1.0
23.244,4,containment,1.5058573744393924,0.021927055356417317,3.0,0.0,0.0,1.0
23.264,4,containment,1.505887908982485,0.021945137754542633,3.0,0.0,0.0,1.0
23.284,4,containment,1.5058408463593507,0.02195894776422789,3.0,0.0,0.0,1.0
23.304,4,containment,1.5058488464033881,0.021954958906591347,3.0,0.0,0.0,1.0
23.324,4,containment,1.5058325601998772,0.02194212917045315,3.0,0.0,0.0,1.0
23.344,4,containment,1.5058204096131929,0.0219116933793706,3.0,0.0,0.0,1.0
23.364,4,containment,1.5057564851424827,0.021868728759681613,3.0,0.0,0.0,1.0
23.384,4,containment,1.5057560487582264,0.02180455029430326,3.0,0.0,0.0,1.0
23.404,4,containment,1.5057726583087234,0.021728413416965398,3.0,0.0,0.0,1.0
23.425,4,containment,1.5058559828799876,0.02164565823376927,3.0,0.0,0.0,1.0
23.444,4,containment,1.50586308579058,0.021543684543446236,3.0,0.0,0.0,1.0
23.464,4,containment,1.5059232768453499,0.021443413397522742,3.0,0.0,0.0,1.0
23.484,4,containment,1.505883094258739,0.021322383371683802,3.0,0.0,0.0,1.0
23.504,4,containment,1.5059553555192589,0.02120089265339543,3.0,0.0,0.0,1.0
23.524,4,containment,1.5058637578939817,0.021059071256438584,3.0,0.0,0.0,1.0
23.544,4,containment,1.5059084764774826,0.020932628367507724,3.0,0.0,0.0,1.0
23.564,4,containment,1.505815024919601,0.02076999296696956,3.0,0.0,0.0,1.0
23.584,4,containment,1.5058711149461925,0.020624207078844183,3.0,0.0,0.0,1.0
23.604,4,containment,1.5057071060506506,0.02044691566226224,3.0,0.0,0.0,1.0
23.624,4,containment,1.505670936365976,0.020279908199105516,3.0,0.0,0.0,1.0
23.644,4,containment,1.505461318611541,0.02009222570361782,3.0,0.0,0.0,1.0
23.664,4,containment,1.5053899051682336,0.019924912776857227,3.0,0.0,0.0,1.0
23.684,4,containment,1.5052076206893568,0.019728471594365197,3.0,0.0,0.0,1.0
23.704,4,containment,1.5051288614267633,0.01956529111031141,3.0,0.0,0.0,1.0
23.724,4,containment,1.504958799776054,0.01937950493894308,3.0,0.0,0.0,1.0
23.744,4,containment,1.5048854288662006,0.019234733298375915,3.0,0.0,0.0,1.0
23.764,4,containment,1.504723831516162,0.01908337578882591,3.0,0.0,0.0,1.0
23.784,4,containment,1.5045918911551581,0.01895553506722242,3.0,0.0,0.0,1.0
23.804,4,containment,1.5044031295286557,0.01881453267337164,3.0,0.0,0.0,1.0
23.824,4,containment,1.5042610705861381,0.018698006142039845,3.0,0.0,0.0,1.0
23.844,4,containment,1.5041133769473578,0.01856750776018075,3.0,0.0,0.0,1.0
23.864,4,containment,1.5039488190134944,0.018468278430953968,3.0,0.0,0.0,1.0
23.884,4,containment,1.5037998647947548,0.01836509151659681,3.0,0.0,0.0,1.0
23.904,4,containment,1.5036657301285394,0.018286648203405347,3.0,0.0,0.0,1.0
23.924,4,containment,1.50354679671247,0.018203759606195354,3.0,0.0,0.0,1.0
23.944,4,containment,1.5033667630460672,0.01814883643578386,3.0,0.0,0.0,1.0
23.964,4,containment,1.5032385829002473,0.01809394533445835,3.0,0.0,0.0,1.0
23.984,4,containment,1.5030922243115672,0.018059582391404063,3.0,0.0,0.0,1.0
24.004,4,containment,1.5029901939927848,0.01801496261840688,3.0,0.0,0.0,1.0
24.024,4,containment,1.5028127023537552,0.01798084658787221,3.0,0.0,0.0,1.0
24.044,4,containment,1.5026608142399567,0.017944938704200157,3.0,0.0,0.0,1.0
24.064,4,containment,1.5024724050714777,0.017915736922353678,3.0,0.0,0.0,1.0
24.084,4,containment,1.5023913694704776,0.017879193516858398,3.0,0.0,0.0,1.0
24.104,4,containment,1.5022568101416216,0.017851994591777377,3.0,0.0,0.0,1.0
24.124,4,containment,1.5021674105605514,0.017807516610861787,3.0,0.0,0.0,1.0
24.144,4,containment,1.5020467641496422,0.017764238031151756,3.0,0.0,0.0,1.0
24.164,4,containment,1.5019715017645439,0.017697296991340004,3.0,0.0,0.0,1.0
24.184,4,containment,1.5018988849066361,0.01764011038487022,3.0,0.0,0.0,1.0
24.204,4,containment,1.5018677305889125,0.017560718843683903,3.0,0.0,0.0,1.0
24.224,4,containment,1.5018800946557163,0.017502389235174245,3.0,0.0,0.0,1.0
24.244,4,containment,1.501784152332721,0.01743326134560899,3.0,0.0,0.0,1.0
24.264,4,containment,1.5017157753769343,0.017380184942332868,3.0,0.0,0.0,1.0
24.284,4,containment,1.5015718627792078,0.01731799032495809,3.0,0.0,0.0,1.0
24.304,4,containment,1.5015224414082615,0.017281913180580814,3.0,0.0,0.0,1.0
24.324,4,containment,1.501374028145764,0.017245613319723258,3.0,0.0,0.0,1.0
24.344,4,containment,1.5012522638568933,0.017234597460445006,3.0,0.0,0.0,1.0
24.364,4,containment,1.501082606700963,0.01721795342613513,3.0,0.0,0.0,1.0
24.384,4,containment,1.5010259623234534,0.017217145672732144,3.0,0.0,0.0,1.0
24.404,4,containment,1.5009444171445905,0.017222584605779964,3.0,0.0,0.0,1.0
24.424,4,containment,1.500926543835426,0.017233086337670362,3.0,0.0,0.0,1.0
24.444,4,containment,1.5008317885376896,0.017253214429035546,3.0,0.0,0.0,1.0
24.464,4,containment,1.500792719758403,0.01727613634507755,3.0,0.0,0.0,1.0
24.484,4,containment,1.5006656663885594,0.01729552510818931,3.0,0.0,0.0,1.0
24.505,4,containment,1.5005432762862843,0.017335663592470546,3.0,0.0,0.0,1.0
24.524,4,containment,1.5003968836470727,0.017373044057022773,3.0,0.0,0.0,1.0
24.544,4,containment,1.500361330948445,0.01741306310253329,3.0,0.0,0.0,1.0
24.565,4,containment,1.5003094886828834,0.017451756804051338,3.0,0.0,0.0,1.0
24.601,4,containment,1.5001713736569908,0.017488165772196935,3.0,0.0,0.0,1.0
24.605,4,containment,1.5001597767256234,0.017490899150167855,3.0,0.0,0.0,1.0
24.624,4,containment,1.500077183931914,0.017495328558579062,3.0,0.0,0.0,1.0
24.644,4,containment,1.4999772444762758,0.01748746615789368,3.0,0.0,0.0,1.0
24.664,4,containment,1.499863912443759,0.017477474465237383,3.0,0.0,0.0,1.0
24.685,4,containment,1.4997827788458342,0.017452080414372483,3.0,0.0,0.0,1.0
24.704,4,containment,1.4996211774883967,0.01743997336343525,3.0,0.0,0.0,1.0
24.724,4,containment,1.4995607316665107,0.017418541553533406,3.0,0.0,0.0,1.0
24.744,4,containment,1.49944813927216,0.017400651136350795,3.0,0.0,0.0,1.0
24.764,4,containment,1.4994212222028611,0.017377988175173803,3.0,0.0,0.0,1.0
24.785,4,containment,1.4993056373308338,0.01736462799138604,3.0,0.0,0.0,1.0
24.804,4,containment,1.4993225136368407,0.01734664263978284,3.0,0.0,0.0,1.0
24.824,4,containment,1.4992377317282992,0.017349216690043537,3.0,0.0,0.0,1.0
24.844,4,containment,1.4992276055615001,0.01734211848477203,3.0,0.0,0.0,1.0
24.864,4,containment,1.49912390178852,0.01733554013440845,3.0,0.0,0.0,1.0
24.884,4,containment,1.4991412779968132,0.01732024977071317,3.0,0.0,0.0,1.0
24.904,4,containment,1.499103928278641,0.017297203095014,3.0,0.0,0.0,1.0
24.924,4,containment,1.4991330924699817,0.017257591788040535,3.0,0.0,0.0,1.0
24.944,4,containment,1.4990916432127257,0.017222515077914828,3.0,0.0,0.0,1.0
24.964,4,containment,1.499112495235937,0.01715883942357166,3.0,0.0,0.0,1.0
24.984,4,containment,1.499107689508089,0.017107870360251486,3.0,0.0,0.0,1.0
25.004,4,containment,1.499065055531865,0.017038447081831276,3.0,0.0,0.0,1.0
25.024,4,containment,1.498988599999833,0.0169889028413064,3.0,0.0,0.0,1.0
25.044,4,containment,1.4989205545487847,0.016937173292285286,3.0,0.0,0.0,1.0
25.064,4,containment,1.4988423958721904,0.016896540669828364,3.0,0.0,0.0,1.0
25.084,4,containment,1.4987898650148312,0.016852699458111527,3.0,0.0,0.0,1.0
25.104,4,containment,1.498713347989485,0.01682366786689613,3.0,0.0,0.0,1.0
25.124,4,containment,1.4986851967704236,0.016790320776221654,3.0,0.0,0.0,1.0
25.144,4,containment,1.4985744504211638,0.016775754763959167,3.0,0.0,0.0,1.0
25.164,4,containment,1.4985116147856938,0.016757219056848502,3.0,0.0,0.0,1.0
25.184,4,containment,1.4984162031911927,0.016753811266058807,3.0,0.0,0.0,1.0
25.204,4,containment,1.4984351893542285,0.016754902021163965,3.0,0.0,0.0,1.0
25.224,4,containment,1.4982750192123866,0.016767548710151056,3.0,0.0,0.0,1.0
25.244,4,containment,1.4982223299067503,0.016786515711525007,3.0,0.0,0.0,1.0
25.264,4,containment,1.4980065476130762,0.016822403739694677,3.0,0.0,0.0,1.0
25.284,4,containment,1.498039386356989,0.01687395484692072,3.0,0.0,0.0,1.0
25.304,4,containment,1.4979003076863533,0.016934935889587784,3.0,0.0,0.0,1.0
25.324,4,containment,1.4979923957227248,0.017013121109945566,3.0,0.0,0.0,1.0
25.344,4,containment,1.4978323363601296,0.017100927274001733,3.0,0.0,0.0,1.0
25.364,4,containment,1.4979522329671795,0.01720880736426674,3.0,0.0,0.0,1.0
25.384,4,containment,1.497834490300257,0.017326075992800633,3.0,0.0,0.0,1.0
25.404,4,containment,1.4979662905940556,0.017452860356104393,3.0,0.0,0.0,1.0
25.425,4,containment,1.4978148825750064,0.017573928170743013,3.0,0.0,0.0,1.0
25.444,4,containment,1.4979627047722937,0.017708176344460973,3.0,0.0,0.0,1.0
25.464,4,containment,1.4978408123080236,0.01783183899563939,3.0,0.0,0.0,1.0
25.484,4,containment,1.4980383438093676,0.01795739035877142,3.0,0.0,0.0,1.0
25.504,4,containment,1.4979731499357563,0.018070480574557842,3.0,0.0,0.0,1.0
25.524,4,containment,1.4981945944293134,0.018182401507635806,3.0,0.0,0.0,1.0
25.544,4,containment,1.4981532594491822,0.01827648067287986,3.0,0.0,0.0,1.0
25.565,4,containment,1.4983711656184076,0.01837660625511014,3.0,0.0,0.0,1.0
25.584,4,containment,1.498342075745314,0.018471816549272206,3.0,0.0,0.0,1.0
25.604,4,containment,1.498552389109755,0.018563999243546302,3.0,0.0,0.0,1.0
25.624,4,containment,1.498539507220257,0.018648616329876525,3.0,0.0,0.0,1.0
25.644,4,containment,1.4987843526658355,0.018734564758294735,3.0,0.0,0.0,1.0
25.664,4,containment,1.4988313892558096,0.01880469671988082,3.0,0.0,0.0,1.0
25.684,4,containment,1.499049345751807,0.018865474629580072,3.0,0.0,0.0,1.0
25.704,4,containment,1.4990978925156286,0.018921869111900337,3.0,0.0,0.0,1.0
25.724,4,containment,1.4993396436146316,0.01896806215656632,3.0,0.0,0.0,1.0
25.744,4,containment,1.4994638686085857,0.019004828858514723,3.0,0.0,0.0,1.0
25.764,4,containment,1.4996984147002363,0.019036958650333686,3.0,0.0,0.0,1.0
25.784,4,containment,1.4998203839934086,0.019056731419791,3.0,0.0,0.0,1.0
25.804,4,containment,1.5000779650874567,0.019077064683471038,3.0,0.0,0.0,1.0
25.824,4,containment,1.500271876281817,0.019087686400061178,3.0,0.0,0.0,1.0
25.844,4,containment,1.5005014074223155,0.019096202420846448,3.0,0.0,0.0,1.0
25.864,4,containment,1.5006963271980291,0.019096894464448844,3.0,0.0,0.0,1.0
25.884,4,containment,1.500911824380377,0.019096612824342468,3.0,0.0,0.0,1.0
25.904,4,containment,1.5011144173376747,0.019092594265035814,3.0,0.0,0.0,1.0
25.924,4,containment,1.5013186917295707,0.019078813286373546,3.0,0.0,0.0,1.0
