time_s,uav1_tracking_error_m,uav2_tracking_error_m,uav3_tracking_error_m,minimum_pair_distance_m,formation_distance_error_m,clearance_lower_bound_m,uav1_x_m,uav1_y_m,uav1_z_m,uav2_x_m,uav2_y_m,uav2_z_m,uav3_x_m,uav3_y_m,uav3_z_m,uav1_ref_x_m,uav1_ref_y_m,uav1_ref_z_m,uav2_ref_x_m,uav2_ref_y_m,uav2_ref_z_m,uav3_ref_x_m,uav3_ref_y_m,uav3_ref_z_m
168.0,0.30755238245434147,0.1097439364754859,0.08468070062039783,3.54358341270066,0.15363078042553857,0.1390840070696585,21.24086102024059,16.077488496857715,2.2518077954787836,4.11674350570508,0.9939232251477867,2.452739684478225,1.3052911001518082,-1.1629013297610271,2.423988798954976,21.495494757013216,16.249927614738123,2.255665084057249,4.224659070235987,1.0138643508107161,2.45330007042243,1.3430732705355617,-1.0871168006573966,2.4241726662860565
169.0,0.02878887218901103,0.08683412525926823,0.10179260373963124,3.7874293946145094,0.03760535724705101,0.3440750183053688,22.174118438787616,16.71744244205116,2.188749911871092,4.721878302659678,1.1020869295040647,2.40978546353271,1.4679352873188487,-0.8359608829205303,2.4309266286117355,22.197325082576068,16.73418989863945,2.1918761786246526,4.80728288560325,1.1177522082368831,2.4106918652096176,1.512331963777795,-0.7443602867430167,2.430935312926066
170.0,0.29475840753781934,0.04192070475465296,0.08468067269211049,4.048086465671831,0.23980190358696873,0.15187798198618063,22.774190190096856,17.130984667952713,2.1577779540700206,5.462164106130505,1.2339020492830544,2.3587595818391667,1.724101804822455,-0.3175849972075651,2.4411137539668792,22.531021196531622,16.96443991262042,2.161546754145502,5.503309445445115,1.2418609489139123,2.359790337134224,1.760772612947442,-0.24125672855741076,2.440861635108787
171.0,0.17382452020136457,0.008939917297295272,0.049995897533442094,4.313693517836837,0.14151105936046507,0.2728118693226354,22.722616597804258,17.092440406820206,2.162505780863859,6.2268123893125145,1.3701623666138603,2.3065579744491918,2.043203968261372,0.3290974528358354,2.453378240209304,22.60176827119588,16.96758241789458,2.1579092190359774,6.217967790475719,1.36929192976072,2.3075262370082825,2.064709881385822,0.37422999524416456,2.4530052970253817
172.0,0.3329934120145165,0.05647353736759525,0.008417464888440997,4.550656672848236,0.183887009917588,0.11364297750948349,22.930753637764255,16.900968040352232,2.1317999503515237,6.908154818252914,1.4916799757312798,2.260418560393306,2.386277271070177,1.0240158014106524,2.466306448526185,23.261457905252882,16.861992309165,2.1322384572504274,6.852449039687986,1.4824265044539806,2.2611256152742114,2.389434429554969,1.031811901265327,2.465979504332192
173.0,0.04479215201752168,0.0919843325989005,0.033915293660776856,4.712261364294322,0.09072369455685436,0.3563370099110995,23.958621603055523,16.717417185291396,2.102968878163818,7.4163910573645335,1.582331737330292,2.2262681281141448,2.711968277803312,1.6834944062280341,2.4784180656273884,23.994120965307925,16.744722053306052,2.103728051882863,7.325724996908397,1.566816506836484,2.22651419264497,2.6963735915648437,1.6533775954051344,2.4782431054086964
174.0,0.32032560629053775,0.10504612315712156,0.07019299290128034,4.763930043791654,0.12457050129013265,0.12631078323346223,24.430936140905455,16.67041645784584,2.0973597158808364,7.6998908739958125,1.6328874532567574,2.2071119969196675,2.981923710720118,2.2301345043279976,2.48837925128773,24.113270076402497,16.71160604287436,2.09693123743227,7.59636675735177,1.6150747343254936,2.206721730744217,2.950252051700537,2.167492966894652,2.488386692615471
175.0,0.2651791394899903,0.08502479214491208,0.09271843707953238,4.708907944022614,0.08281239498022774,0.1814572500340097,24.495289709714125,16.485494864970967,2.0227045206078684,7.768170569015584,1.6450605633538562,2.2013857278638067,3.1678874308523373,2.6067464441916894,2.4952723396843526,24.670943806315634,16.28683745099536,2.023624433801609,7.684363314176053,1.6307654313211049,2.2002864027464653,3.126252520949488,2.523901882333526,2.4954187035521445
176.0,0.13584737520579282,0.018198419503601414,0.09367424658867506,4.612317210513827,0.018354182630303306,0.31078901431820716,25.09602137030759,15.93549107277814,1.9728829456680792,7.714592116703907,1.6364575993004333,2.2013695051434343,3.2592233820203904,2.7917339714872886,2.498852264767311,25.00281205736919,16.034060240723466,1.9800000000040499,7.698213772834131,1.6442417747178737,2.199840146590656,3.2171764135286836,2.708026879726537,2.4990515223153573
177.0,0.2110126257508805,0.1661808073917298,0.06545319029846675,4.633981166110328,0.12711008051834433,0.23562376377311947,25.318265120056637,15.89453104699147,1.9029110150115731,7.769857785738801,1.748622314265148,2.197038885853635,3.2701514412073167,2.813874174104733,2.4997974298398375,25.437657741216032,16.068043089064815,1.8900540521311895,7.877676329600007,1.8750786895908194,2.196952372794658,3.240604523411875,2.7554698625201803,2.4999875807567196
178.0,0.021311540830015973,0.1890194663343099,0.006987594002298147,4.948340744357351,0.0966162031872475,0.2593018761756901,26.063167094221022,16.10661372752153,1.743643825304349,8.157940410231344,2.241939573141588,2.1901163435423414,3.24710535867824,2.765479835836901,2.499439495022168,26.057885976934394,16.116513438134465,1.761762525658802,8.277015784290304,2.3887361865583467,2.190526508626973,3.247438348869584,2.7585004791714027,2.4993749349014602
