t,phase,uav_a,uav_b,distance_m
15.56,takeoff,2,3,1.4821054519299832
15.594,takeoff,2,3,1.48187517395996
15.628,takeoff,2,3,1.4815449451352423
15.662,takeoff,2,3,1.4811151515167489
15.696,takeoff,2,3,1.4806029768958218
15.731,takeoff,2,3,1.4800167135112903
15.765,takeoff,2,3,1.4794191171791657
15.799,takeoff,2,3,1.4788269265510567
15.833,takeoff,2,3,1.47826087362794
15.867,takeoff,2,3,1.4777470442673175
15.901,takeoff,2,3,1.477308960665587
15.935,takeoff,2,3,1.476959734308375
15.969,takeoff,2,3,1.476710532522581
16.003,takeoff,2,3,1.4765691597339636
16.037,takeoff,2,3,1.4765307875265419
16.071,takeoff,2,3,1.4765860535704254
16.105,takeoff,2,3,1.4767252514534295
16.139,takeoff,2,3,1.4769303061630423
16.173,takeoff,2,3,1.4771836400155534
16.207,takeoff,2,3,1.4774726703290038
16.241,takeoff,2,3,1.4777797510340505
16.275,takeoff,2,3,1.478089301827837
16.309,takeoff,2,3,1.478355898255938
16.343,takeoff,2,3,1.478676279146038
16.377,takeoff,2,3,1.4789368554394624
16.411,takeoff,2,3,1.4791706066599632
16.445,takeoff,2,3,1.47938184731451
16.479,takeoff,2,3,1.4795733690534314
16.513,takeoff,2,3,1.4797515268787462
16.547,takeoff,2,3,1.4799279276842014
16.581,takeoff,2,3,1.4801161835074297
16.615,takeoff,2,3,1.4803260399258085
16.649,takeoff,2,3,1.4805609953349088
16.683,takeoff,2,3,1.4808247474816543
16.717,takeoff,2,3,1.4811240001684824
16.751,takeoff,2,3,1.4814619903918467
16.785,takeoff,2,3,1.4818406522292271
16.819,takeoff,2,3,1.4822639167565528
16.853,takeoff,2,3,1.4827264640632547
16.887,takeoff,2,3,1.4832186863137033
16.921,takeoff,2,3,1.4837335141224022
16.955,takeoff,2,3,1.4842670022364493
16.989,takeoff,2,3,1.4848133589492356
17.023,takeoff,2,3,1.4853629728334774
17.058,takeoff,2,3,1.4859213888393246
17.092,takeoff,2,3,1.486447158609019
17.126,takeoff,2,3,1.4869460166404531
17.16,takeoff,2,3,1.4874120339897317
17.194,takeoff,2,3,1.4878397174848383
17.228,takeoff,2,3,1.4882228465804372
17.262,takeoff,2,3,1.4885607580895015
17.296,takeoff,1,2,1.488215930577726
17.331,takeoff,1,2,1.4876114152881899
17.365,takeoff,1,2,1.487064247039777
17.399,takeoff,1,2,1.4865550154587095
17.433,takeoff,1,2,1.486079915252691
17.467,takeoff,1,2,1.485639230376817
17.501,takeoff,1,2,1.485235887443308
17.535,takeoff,1,2,1.484875866978257
17.569,takeoff,1,2,1.4845635923359781
17.603,takeoff,1,2,1.4843056081734787
17.637,takeoff,1,2,1.484104418214351
17.671,takeoff,1,2,1.4839390629879137
17.705,takeoff,1,2,1.4837863257882704
17.739,takeoff,1,2,1.4836313870805604
17.773,takeoff,1,2,1.4834652039412128
17.807,takeoff,1,2,1.483282890992301
17.841,takeoff,1,2,1.4830845149018723
17.875,takeoff,1,2,1.4828722562367191
17.909,takeoff,1,2,1.482651775788889
17.943,takeoff,1,2,1.482427380691193
17.977,takeoff,1,2,1.4822029078458734
