time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,battery_voltage,voltage_margin,battery_low_active,esc_saturation_ratio,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.36,0.2113146187545628,0.2686299846692504,-0.00010449560112009391,0.0,0.0,0.72,0.6345880097967007,0.6973733558380316,-1.8447472323501213,85.19284475875637,-124.89780715179128,109.83752587863515,-115.69609116719428,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.37,0.22493364358295123,0.2846992728555455,-0.0001041796464469436,0.0,0.0,0.74,0.49648210579911634,2.6604360555512985,-0.7855743686538152,109.24157134433321,-130.15917037669055,87.0481903579209,-97.20538738601034,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.38,0.2385992805778356,0.3007750904158198,-6.126534511565666e-05,0.0,0.0,0.76,-0.8387111657679497,-0.5417149464191622,-2.9951107435816264,95.91357486964392,-119.65798812549204,108.55140370167734,-118.06365460588427,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.39,0.25313270952287203,0.3166424506679199,-7.88115904427856e-05,0.0,0.0,0.78,0.789898223084191,0.8534485351601254,-2.526317715109058,82.88896707682024,-125.55823191478552,108.41135540309108,-128.60897404088666,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.4,0.26715577120256806,0.3334220082639952,-3.092854684078396e-05,0.0,0.0,0.8,0.662974982548555,2.834943284641174,-1.4381863952706508,110.30365393027748,-130.15917037669055,80.39231814291125,-108.78387169706993,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.41000000000000003,0.2811800363688223,0.34985102400308754,0.000202173427703099,0.0,0.0,0.8200000000000001,-0.6449306462400838,-0.48033092271737565,2.7875897803283074,88.55076785594684,-127.37472662817297,116.44905759090534,-119.64975210042275,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.42,0.29611746837581465,0.3660006129631791,0.00018106290824182223,0.0,0.0,0.8400000000000001,0.8218981164373979,0.9604947102644075,3.1221196284485027,94.9807490375085,-128.54136600752165,109.4028372578141,-122.37561762887054,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.43,0.31029416884863775,0.3831174844841566,0.0002653615559785714,0.0,0.0,0.86,0.8099721485327785,2.8250421393473446,-2.1448215683090024,122.54568901444009,-130.15917037669055,82.81181197906693,-111.28294715806851,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.44,0.3244727659113423,0.3996634507357742,0.0006041107012161605,0.0,0.0,0.8800000000000001,-0.5826854110612,-0.29551414253298847,2.066047567117891,107.15961659819263,-130.15917037669055,106.50360358933327,-99.35626122863066,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.45,0.33953313058810236,0.41591694253439,0.0005802960976806524,0.0,0.0,0.9,0.8803180943100178,1.1781670023525268,2.2471012336197296,129.19709660384976,-130.15917037669055,109.12198958037789,-89.17156149283254,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
