time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,gps_valid,mid360_valid,estimator_quality,estimator_mode,degraded_nav_active,obstacle_avoid_active,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.32,0.19915151955480978,0.2486594932977841,-1.0273224215145209e-05,0.0,0.0,0.64,-1.0754192770804112,-0.5135300696154097,-1.7836935719360396,125.00850947175735,-105.69421776045823,95.34522461600494,-96.36965005518687,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.33,0.21492557956455954,0.2674894050571195,0.0001175928991415884,0.0,0.0,0.66,0.5248395951587388,0.6463937295022089,-1.0470881123189075,86.54939306428253,-111.89248585223288,123.46172278340347,-103.81976028383542,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.34,0.23181916244925146,0.28660471268907506,0.00025034603515314334,0.0,0.0,0.68,0.484216469794796,2.5543569685784826,-0.08369085040911058,116.66484534691932,-130.15917037669055,93.95322911210184,-85.34569367974669,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.35000000000000003,0.24980844360879656,0.3067245631274284,0.00024070491738883968,0.0,0.0,1.0,-1.0161367843870537,-0.5066640219919336,-2.4274239547815943,130.15917037669055,-130.15917037669055,117.28107653032751,-128.30055189766114,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
0.36,0.26794207718748414,0.32820909893372663,0.0004770348879917711,0.0,0.0,1.0,0.536566296226903,0.6931427987581454,-1.737961281749035,102.32214272868461,-130.15917037669055,130.15917037669055,-130.15917037669055,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
0.37,0.2874263788713236,0.349908539609508,0.0008029929163512746,0.0,0.0,1.0,0.4889192632490256,2.5479572079812804,-0.7782915983640554,130.15917037669055,-130.15917037669055,100.89125590832967,-124.22689672667738,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
0.38,0.3081930411845447,0.3728497995184791,0.0007902309405479452,0.0,0.0,1.0,-0.9832037263841735,-0.5250101735424217,-3.100352508971803,130.15917037669055,-128.14917092729598,112.05569726598537,-130.15917037669055,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
0.39,0.3288977049864592,0.3974926045943567,0.001365492771053735,0.0,0.0,1.0,0.5739176236172354,0.7072909111211523,-2.43077826303702,101.32380344179788,-130.15917037669055,129.22638930079663,-130.15917037669055,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
0.4,0.3513471358173684,0.42217962905525247,0.0023955593448930605,0.0,0.0,1.0,0.5545209559738252,2.565505788305507,-1.4918055939071861,130.15917037669055,-130.15917037669055,88.60326149907493,-130.15917037669055,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
0.41000000000000003,0.37536400755770144,0.44836957073844375,0.0016079638402321235,0.0,0.0,1.0,-0.9985131920747367,-0.5368695157864098,2.4972041420838065,127.21025998965595,-126.18357572095925,103.48045841577327,-130.15917037669055,0.0,1.0,1.0,2.0,1.0,0.0,6.0,90.0,3.0,30.0,0.031
