time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
44.300000000000004,11.7572588502,3.8684043612481296,27.196306282178433,10.0,10.0,15.0,13.76351374731294
44.31,11.765160131307026,3.873872643573507,27.20013615615175,10.0,10.0,15.0,13.765483969151033
44.32,11.773057527049463,3.879344782743687,27.20396201954202,10.0,10.0,15.0,13.767455910849245
44.33,11.780951037428418,3.8848207787580336,27.207783872352817,10.0,10.0,15.0,13.769429566242183
44.34,11.78884066244436,3.890300631615935,27.21160171458728,10.0,10.0,15.0,13.77140492917691
44.35,11.796726402097152,3.895784341316812,27.215415546248096,10.0,10.0,15.0,13.77338199351291
44.36,11.80460825638618,3.901271907860172,27.219225367337508,10.0,10.0,15.0,13.775360753122117
44.37,11.812486225310291,3.9067633312455405,27.223031177857337,10.0,10.0,15.0,13.77734120188892
44.38,11.82036030886792,3.9122586114725078,27.226832977808925,10.0,10.0,15.0,13.77932333371012
44.39,11.828230507057118,3.9177577485407142,27.230630767193162,10.0,10.0,15.0,13.781307142494969
44.4,11.83609681987563,3.9232607424498696,27.23442454601051,10.0,10.0,15.0,13.783292622165167
44.410000000000004,11.843959247320928,3.9287675931997414,27.238214314260976,10.0,10.0,15.0,13.785279766654874
44.42,11.851817789390255,3.934278300790132,27.24200007194411,10.0,10.0,15.0,13.787268569910692
44.43,11.859672446080681,3.9397928652209,27.245781819059015,10.0,10.0,15.0,13.789259025891694
44.44,11.867523217389182,3.945311286491962,27.24955955560433,10.0,10.0,15.0,13.791251128569394
44.45,11.875370103312651,3.9508335646032715,27.253333281578275,10.0,10.0,15.0,13.793244871927818
44.46,11.8832131038479,3.9563596995547887,27.257102996978574,10.0,10.0,15.0,13.79524024996343
44.47,11.891052218991803,3.9618896913465305,27.26086870180255,10.0,10.0,15.0,13.797237256685213
44.480000000000004,11.89888744874126,3.967423539978537,27.264630396047046,10.0,10.0,15.0,13.799235886114612
44.49,11.906718793093232,3.972961245450853,27.268388079708473,10.0,10.0,15.0,13.801236132285585
44.5,11.914546252044797,3.978502807763547,27.272141752782783,10.0,10.0,15.0,13.80323798924458
44.51,11.922369825593172,3.9840482269166992,27.27589141526552,10.0,10.0,15.0,13.805241451050572
44.52,11.930189513735725,3.9895975029103905,27.27963706715176,10.0,10.0,15.0,13.807246511775034
44.53,11.938005316469942,3.995150635744679,27.28337870843615,10.0,10.0,15.0,13.809253165501957
44.54,11.94581723379357,4.000707625419642,27.28711633911291,10.0,10.0,15.0,13.811261406327864
44.550000000000004,11.95362526570451,4.006268471935333,27.290849959175816,10.0,10.0,15.0,13.813271228361788
44.56,11.961429412200875,4.011833175291792,27.294579568618243,10.0,10.0,15.0,13.815282625725317
44.57,11.969229673281001,4.017401735489052,27.298305167433117,10.0,10.0,15.0,13.817295592552542
44.58,11.977026048943442,4.022974152527122,27.302026755612964,10.0,10.0,15.0,13.819310122990112
44.59,11.98481853918694,4.028550426405979,27.305744333149885,10.0,10.0,15.0,13.821326211197206
44.6,11.992607144010483,4.034130557125594,27.309457900035586,10.0,10.0,15.0,13.823343851345545
44.61,12.000391863413242,4.039714544685906,27.313167456261347,10.0,10.0,15.0,13.825363037619379
44.62,12.008172697394595,4.045302389086826,27.316873001818063,10.0,10.0,15.0,13.827383764215517
44.63,12.015949645954134,4.050894090328261,27.320574536696256,10.0,10.0,15.0,13.829406025343316
44.64,12.023722709091597,4.056489648410059,27.324272060886006,10.0,10.0,15.0,13.831429815224643
44.65,12.031491886806936,4.062089063332086,27.327965574377057,10.0,10.0,15.0,13.833455128093945
44.660000000000004,12.03925717910024,4.06769233509417,27.331655077158775,10.0,10.0,15.0,13.835481958198207
44.67,12.047018585971717,4.073299463696099,27.335340569220126,10.0,10.0,15.0,13.837510299796943
44.68,12.05477610742176,4.078910449137677,27.33902205054974,10.0,10.0,15.0,13.839540147162225
44.69,12.062529743450865,4.084525291418681,27.342699521135888,10.0,10.0,15.0,13.841571494578671
44.7,12.070279494059633,4.090143990538874,27.346372980966496,10.0,10.0,15.0,13.843604336343448
44.71,12.078025359248727,4.095766546497998,27.350042430029124,10.0,10.0,15.0,13.845638666766247
44.72,12.085767339018934,4.101392959295811,27.353707868311034,10.0,10.0,15.0,13.847674480169337
44.730000000000004,12.09350543337107,4.107023228932046,27.35736929579914,10.0,10.0,15.0,13.849711770887508
44.74,12.101239642306005,4.112657355406425,27.36102671248003,10.0,10.0,15.0,13.851750533268104
44.75,12.108969965824668,4.118295338718697,27.364680118340008,10.0,10.0,15.0,13.853790761671023
44.76,12.116696403927987,4.123937178868594,27.368329513365065,10.0,10.0,15.0,13.85583245046871
44.77,12.124418956616903,4.129582875855851,27.371974897540913,10.0,10.0,15.0,13.857875594046174
44.78,12.132137623892369,4.135232429680214,27.37561627085296,10.0,10.0,15.0,13.859920186800952
44.79,12.139852405755322,4.14088584034143,27.37925363328635,10.0,10.0,15.0,13.861966223143154
44.800000000000004,12.147563302206699,4.146543107839273,27.38288698482597,10.0,10.0,15.0,13.864013697495443
44.81,12.155270313247403,4.152204232173515,27.38651632545645,10.0,10.0,15.0,13.866062604293049
44.82,12.162973438878282,4.157869213343929,27.390141655162168,10.0,10.0,15.0,13.868112937983753
44.83,12.17067267910017,4.163538051350325,27.393762973927274,10.0,10.0,15.0,13.870164693027913
44.84,12.178368033913868,4.169210746192522,27.397380281735682,10.0,10.0,15.0,13.872217863898449
44.85,12.186059503320072,4.174887297870326,27.400993578571107,10.0,10.0,15.0,13.87427244508087
44.86,12.193747087319494,4.1805677063835995,27.404602864417058,10.0,10.0,15.0,13.87632843107326
44.87,12.201430785912752,4.186251971732194,27.408208139256832,10.0,10.0,15.0,13.878385816386276
44.88,12.209110599100429,4.191940093915991,27.41180940307358,10.0,10.0,15.0,13.88044459554319
44.89,12.216786526883029,4.197632072934876,27.415406655850244,10.0,10.0,15.0,13.882504763079849
44.9,12.224458569261008,4.203327908788755,27.418999897569627,10.0,10.0,15.0,13.884566313544708
44.910000000000004,12.232126726234785,4.209027601477567,27.422589128214376,10.0,10.0,15.0,13.886629241498827
44.92,12.239790997804675,4.2147311510012155,27.42617434776699,10.0,10.0,15.0,13.888693541515883
44.93,12.247451383970985,4.2204385573596666,27.429755556209855,10.0,10.0,15.0,13.890759208182168
44.94,12.255107884733949,4.22614982055288,27.433332753525246,10.0,10.0,15.0,13.892826236096615
44.95,12.262760500093753,4.231864940580827,27.436905939695315,10.0,10.0,15.0,13.894894619870772
44.96,12.270409230050523,4.237583917443474,27.440475114702114,10.0,10.0,15.0,13.89696435412883
44.97,12.278054074604382,4.243306751140831,27.444040278527662,10.0,10.0,15.0,13.899035433507649
44.980000000000004,12.285695033471349,4.2490334419548255,27.447601430860768,10.0,10.0,15.0,13.901107852230936
44.99,12.29333210678964,4.254763989748276,27.45115857182781,10.0,10.0,15.0,13.903181605169607
45.0,12.300965295134871,4.26049839394981,27.454711702013345,10.0,10.0,15.0,13.905256687869374
45.01,12.308594598077073,4.26623665498619,27.45826082097449,10.0,10.0,15.0,13.90733309439026
45.02,12.316220015616075,4.271978772857542,27.461805928719905,10.0,10.0,15.0,13.909410819456506
45.03,12.32384154775165,4.277724747563987,27.465347025262364,10.0,10.0,15.0,13.911489857808748
45.04,12.331459194483582,4.283474579105675,27.468884110616877,10.0,10.0,15.0,13.913570204202339
45.050000000000004,12.339072955811602,4.289228267482746,27.47241718479969,10.0,10.0,15.0,13.915651853406434
